sale_id,customer_id,product_id,sale_date,quantity,total_amount
1,1,1,15-01-2024,2,39.98
2,1,3,20-01-2024,1,29.99
3,2,2,16-01-2024,1,25
4,2,4,22-01-2024,3,89.97
5,3,5,17-01-2024,2,49.98
6,4,6,18-01-2024,4,119.96
7,4,7,25-01-2024,1,15.5
8,5,8,19-01-2024,3,66.75
9,6,9,20-01-2024,2,40
10,7,10,21-01-2024,5,110.95
11,8,11,22-01-2024,1,20
12,9,12,23-01-2024,4,79.96
13,10,13,24-01-2024,2,55
14,11,14,25-01-2024,1,25
15,12,15,26-01-2024,3,67.47
16,13,16,27-01-2024,2,34
17,14,17,28-01-2024,1,15
18,15,18,29-01-2024,4,92
19,16,19,30-01-2024,3,60
20,17,20,31-01-2024,2,40
21,18,1,01-02-2024,1,19.99
22,18,2,05-02-2024,2,39.98
23,19,3,06-02-2024,1,29.99
24,20,4,07-02-2024,3,89.97
25,21,5,08-02-2024,2,49.98
26,22,6,09-02-2024,4,119.96
27,23,7,10-02-2024,1,15.5
28,24,8,11-02-2024,5,99.95
29,25,9,12-02-2024,2,40
30,26,10,13-02-2024,3,66.75
31,27,11,14-02-2024,4,79.96
32,28,12,15-02-2024,2,45
33,29,13,16-02-2024,1,35.98
34,30,14,17-02-2024,3,71.97
35,31,15,18-02-2024,2,50
36,32,16,19-02-2024,1,27.5
37,33,17,20-02-2024,2,34
38,34,18,21-02-2024,4,92
39,35,19,22-02-2024,3,60
40,36,20,23-02-2024,1,18.75
41,37,1,24-02-2024,2,39.98
42,38,2,25-02-2024,1,19.99
43,39,3,26-02-2024,4,89.96
44,40,4,27-02-2024,2,40
45,41,5,28-02-2024,3,67.47
46,42,6,01-03-2024,1,22.5
47,43,7,02-03-2024,2,40
48,44,8,03-03-2024,3,55.5
49,45,9,04-03-2024,4,109.96
50,46,10,05-03-2024,1,12.99
